측정ID,시각,권역,LCZ,name,위도,경도,표고_m,Ta,RH,v,Tmrt,PET,Ts,태양고도,sun,SVF,TVF,BVF,사진,width_m,hw_ratio,H_m,H_default,geo_SVF,geo_GVI,geo_BVI
20260826_부암제1동_03,2026-08-26 15:00:00,부암제1동,1,Buam 1,35.1629,129.0453,34.0,38.3,43.0,0.0,49.2,47.71,53.36,47.1,0,0.5393,0.0106,0.3669,255,48.2,0.11,5.3,1,0.8976,0.0209,0.2685
20260826_부암제1동_04,2026-08-26 14:57:00,부암제1동,1,Buam 1,35.1633,129.0448,33.0,38.6,41.8,0.0,52.0,49.24,60.1,47.6,1,0.8104,0.0236,0.1123,254,9.2,0.75,6.9,1,0.8668,0.0162,0.4345
20260826_부암제1동_05,2026-08-26 14:53:00,부암제1동,1,Buam 1,35.1638,129.0441,39.0,36.5,47.3,0.6,54.03,46.66,57.25,48.4,1,0.5472,0.0095,0.3771,253,9.8,0.86,8.43,0,0.6986,0.0582,0.4556
20260826_부암제1동_06,2026-08-26 14:50:00,부암제1동,1,Buam 1,35.1631,129.0444,33.0,38.1,42.0,0.0,53.51,49.82,60.01,48.9,1,0.6802,0.0013,0.3088,252,8.1,1.0,8.1,0,0.6837,0.0007,0.5155
20260826_부암제1동_07,2026-08-26 14:47:00,부암제1동,1,Buam 1,35.1631,129.045,33.0,38.2,42.0,0.0,50.72,48.43,62.08,49.5,1,0.4742,0.0,0.4761,251,4.3,1.28,5.5,1,0.8382,0.004,0.4907
20260826_부암제1동_09,2026-08-26 14:32:00,부암제1동,1,Buam 1,35.1647,129.046,49.0,36.0,45.6,1.2,63.35,48.39,58.34,52.1,1,0.5714,0.0517,0.3254,249,66.1,0.61,40.32,0,0.8915,0.0359,0.2734
20260826_부암제1동_10,2026-08-26 14:27:00,부암제1동,1,Buam 1,35.1641,129.0459,43.0,36.0,47.3,0.7,62.44,49.96,61.39,52.9,1,0.6988,0.0232,0.2216,246,14.5,0.58,8.41,1,0.8195,0.0038,0.486
20260826_부암제1동_11,2026-08-26 14:25:00,부암제1동,1,Buam 1,35.1637,129.0455,54.0,37.6,45.0,0.4,59.2,50.97,56.66,53.3,1,0.5115,0.0005,0.4633,245,11.6,1.12,12.99,0,0.9205,0.0177,0.3226
20260826_부암제1동_12,2026-08-26 14:22:00,부암제1동,1,Buam 1,35.1632,129.0452,34.0,37.3,42.0,0.0,54.02,49.78,55.51,53.8,1,0.6082,0.0013,0.378,244,6.4,0.65,4.16,0,0.9689,0.0387,0.333
20260826_부암제1동_13,2026-08-26 14:20:00,부암제1동,1,Buam 1,35.1632,129.0458,34.0,37.3,44.0,0.7,62.96,51.06,61.01,54.1,1,0.5921,0.0026,0.3635,243,10.7,0.65,6.96,0,0.8448,0.0184,0.2946
20260826_부암제1동_14,2026-08-26 14:17:00,부암제1동,1,Buam 1,35.1632,129.0464,32.0,37.3,45.4,0.8,63.41,51.08,60.2,54.6,1,0.7615,0.0043,0.1239,242,7.1,1.0,7.1,0,0.8786,0.0279,0.3996
20260826_부암제1동_15,2026-08-26 14:13:00,부암제1동,1,Buam 1,35.1632,129.0472,33.0,37.3,45.3,0.0,53.12,49.33,66.44,55.2,1,0.8339,0.0098,0.1267,241,13.1,0.53,6.94,1,0.9169,0.0078,0.4031
20260826_부암제1동_16,2026-08-26 14:10:00,부암제1동,1,Buam 1,35.1626,129.0475,33.0,36.8,45.7,1.0,68.33,52.29,64.07,55.7,1,0.7508,0.0137,0.2261,239,,,,,0.787,0.0277,0.221
