측정ID,LCZ,동,지점명,시각,위도,경도,볕그늘,폭등급,가로폭_m,노면온도_열화상,포장재질,비고
20260823_명장제12동_01,LCZ 5,명장동,명장제12동,2026-08-23 11:47:00,35.2152,129.0874,볕,큰길(12m+),15.0,54.71,,
20260823_명장제13동_01,LCZ 5,명장동,명장제13동,2026-08-23 11:43:00,35.2149,129.0882,볕,큰길(12m+),13.9,52.39,,
20260823_명장제14동_01,LCZ 5,명장동,명장제14동,2026-08-23 11:40:00,35.2145,129.0899,볕,개방,,54.83,,
20260823_명장제15동_01,LCZ 5,명장동,명장제15동,2026-08-23 11:34:00,35.2139,129.0899,볕,개방,,53.63,,
20260823_명장제16동_01,LCZ 5,명장동,명장제16동,2026-08-23 11:29:00,35.2136,129.0905,볕,큰길(12m+),41.6,52.31,,
20260823_명장제17동_01,LCZ 5,명장동,명장제17동,2026-08-23 11:22:00,35.2125,129.0902,볕,개방,,55.91,,
20260823_명장제18동_01,LCZ 5,명장동,명장제18동,2026-08-23 11:19:00,35.2123,129.0897,볕,개방,,53.48,,
20260823_명장제2동_01,LCZ 5,명장동,명장제2동,2026-08-23 12:27:00,35.2111,129.0833,볕,큰길(12m+),33.2,50.78,,
20260823_명장제3동_01,LCZ 5,명장동,명장제3동,2026-08-23 12:17:00,35.214,129.0854,그늘,개방,,38.77,,
20260823_명장제4동_01,LCZ 5,명장동,명장제4동,2026-08-23 12:14:00,35.2147,129.0854,그늘,큰길(12m+),21.0,44.57,,
20260823_명장제5동_01,LCZ 5,명장동,명장제5동,2026-08-23 12:11:00,35.215,129.0858,그늘,큰길(12m+),18.4,45.52,,
20260823_명장제6동_01,LCZ 5,명장동,명장제6동,2026-08-23 12:07:00,35.2153,129.0854,그늘,혼합골목(6-12m),10.7,45.21,,
20260823_명장제7동_01,LCZ 5,명장동,명장제7동,2026-08-23 12:04:00,35.2157,129.0844,그늘,큰길(12m+),16.9,44.81,,
20260823_명장제8동_01,LCZ 5,명장동,명장제8동,2026-08-23 12:00:00,35.2161,129.0857,볕,큰길(12m+),15.6,48.33,,
20260823_명장제9동_01,LCZ 5,명장동,명장제9동,2026-08-23 11:56:00,35.2162,129.0861,볕,큰길(12m+),33.1,57.96,,
