측정ID,사진,시간차초,SVF,TVF,BVF,OTH,GVI_pix,SVF_0914,GVI_0914,BVI_0914,볕,비고
20260823_명장제10동_01,189,7,0.7336,0.0369,0.2131,0.0164,0.0146,0.7765,0.0178,0.3572,1,
20260823_명장제11동_01,188,15,0.6281,0.1233,0.1503,0.0983,0.0656,0.6648,0.0794,0.1673,1,
20260823_명장제12동_01,187,13,0.666,0.0114,0.3034,0.0192,0.0,0.705,0.0,0.407,1,
20260823_명장제13동_01,186,7,0.5922,0.0042,0.3944,0.0092,0.0042,0.6268,0.0052,0.4876,1,
20260823_명장제14동_01,185,129,0.6835,0.0193,0.209,0.0882,0.0441,0.7235,0.0539,0.2821,1,
20260823_명장제15동_01,184,72,0.6635,0.1599,0.1678,0.0089,0.1052,0.7023,0.1277,0.2294,1,
20260823_명장제16동_01,182,23,0.7523,0.0366,0.1952,0.0159,0.0429,0.7964,0.0536,0.2536,0,
20260823_명장제17동_01,179,10,0.7665,0.1464,0.0749,0.0123,0.129,0.8113,0.1576,0.1405,0,
20260823_명장제18동_01,177,37,0.8181,0.1104,0.0519,0.0196,0.1409,0.866,0.1729,0.0846,1,
20260823_명장제2동_01,199,6,0.7581,0.0024,0.2051,0.0344,0.0002,0.8025,0.0003,0.2921,1,
20260823_명장제3동_01,198,74,0.3071,0.3026,0.2603,0.13,0.1192,0.3251,0.1466,0.3607,0,
20260823_명장제4동_01,197,22,0.408,0.3106,0.2699,0.0115,0.1698,0.4319,0.2074,0.3118,0,
20260823_명장제5동_01,196,11,0.2467,0.1526,0.4793,0.1215,0.1948,0.2611,0.2379,0.5737,0,
20260823_명장제6동_01,195,54,0.6033,0.0154,0.3507,0.0306,0.0071,0.6386,0.0084,0.4358,0,
20260823_명장제7동_01,192,21,0.4534,0.0653,0.3569,0.1244,0.0255,0.4799,0.0311,0.49,1,
20260823_명장제8동_01,191,20,0.5681,0.0036,0.4131,0.0152,0.0,0.6013,0.0,0.523,1,
20260823_명장제9동_01,190,1,0.6673,0.0072,0.3039,0.0215,0.0135,0.7064,0.0165,0.3698,1,
20260825_용호제1동_01,219,136,0.5568,0.0099,0.4147,0.0186,0.0005,0.5894,0.0007,0.5086,1,
20260825_용호제1동_02,218,148,0.7453,0.0001,0.2379,0.0166,0.0017,0.7889,0.002,0.3622,1,
20260825_용호제1동_03,215,118,0.6485,0.0,0.19,0.1615,0.0,0.6864,0.0,0.3186,1,
20260825_용호제1동_04,214,108,0.5255,0.0,0.4717,0.0028,0.0,0.5563,0.0,0.5941,1,
20260825_용호제1동_05,213,121,0.6791,0.0,0.2998,0.0211,0.0,0.7189,0.0,0.4265,1,
20260825_용호제1동_06,212,168,0.7072,0.0,0.2671,0.0257,0.0003,0.7486,0.0004,0.3742,1,
20260825_용호제1동_07,211,4,0.7258,0.0067,0.2563,0.0112,0.0004,0.7682,0.0005,0.3869,1,
20260825_용호제1동_08,209,73,0.5642,0.0018,0.4031,0.0308,0.0039,0.5972,0.0048,0.5295,1,
20260825_용호제1동_09,208,131,0.6996,0.0838,0.2075,0.009,0.0441,0.7406,0.0541,0.3176,1,
20260825_용호제1동_10,207,66,0.5618,0.0267,0.4016,0.0098,0.016,0.5947,0.0199,0.5235,1,
20260825_용호제1동_11,206,62,0.5387,0.0647,0.3799,0.0167,0.0489,0.5703,0.0596,0.462,1,
20260825_용호제1동_12,205,68,0.4639,0.0,0.4232,0.1129,0.0,0.491,0.0,0.5481,1,
20260825_용호제1동_13,203,76,0.3611,0.0,0.6276,0.0113,0.0,0.3822,0.0,0.7396,1,
