lat,lon,n_records,svf,n_buildings,street_width_m,hw_ratio,snapped_m,폭등급
35.1828,129.1033,53,0.225,24,54.7,1.28,0.0,큰길(12m+)
35.1821,129.103,2,0.588,56,14.4,0.39,3.9,큰길(12m+)
35.1823,129.1036,3,0.592,41,25.2,1.28,0.0,큰길(12m+)
35.2303,129.0797,24,0.591,41,38.7,0.87,0.0,큰길(12m+)
35.2313,129.0789,33,0.988,22,64.1,0.04,0.0,큰길(12m+)
35.2312,129.0798,19,0.994,20,24.6,0.11,0.0,큰길(12m+)
35.2303,129.0796,25,0.729,42,32.6,0.13,0.0,큰길(12m+)
35.2311,129.0797,11,0.804,24,24.6,0.11,3.6,큰길(12m+)
35.2303,129.0798,15,0.678,35,33.8,0.99,1.1,큰길(12m+)
35.2308,129.0798,15,0.97,29,43.4,0.06,0.0,큰길(12m+)
35.2311,129.0798,9,0.83,22,20.6,0.14,0.0,큰길(12m+)
35.2305,129.0791,2,0.834,50,26.3,0.27,0.0,큰길(12m+)
35.2302,129.08,68,0.806,32,57.1,0.56,0.0,큰길(12m+)
35.2318,129.0825,14,0.805,7,45.2,0.06,24.9,큰길(12m+)
35.2299,129.0827,34,0.844,46,19.1,0.44,0.0,큰길(12m+)
35.2311,129.0841,2,0.952,64,20.9,0.27,0.0,큰길(12m+)
35.2313,129.0841,6,0.927,57,45.2,0.19,0.0,큰길(12m+)
35.2315,129.0842,6,0.914,62,53.6,0.26,0.0,큰길(12m+)
35.2312,129.0841,2,0.939,61,36.0,0.16,0.0,큰길(12m+)
35.2315,129.0845,1,0.811,79,31.8,0.44,0.0,큰길(12m+)
35.2319,129.0843,2,0.744,56,25.1,0.56,0.0,큰길(12m+)
35.2323,129.0844,1,0.688,64,25.2,0.67,0.0,큰길(12m+)
35.2316,129.0843,1,0.901,59,42.6,0.2,0.0,큰길(12m+)
35.2307,129.0841,1,0.368,78,4.3,2.28,0.0,보행골목(<6m)
35.2304,129.0841,1,0.609,96,16.7,0.67,0.0,큰길(12m+)
35.2298,129.0838,1,0.445,97,5.6,1.01,2.0,보행골목(<6m)
35.2293,129.0837,4,0.764,82,17.6,0.48,0.0,큰길(12m+)
35.2295,129.0832,5,0.665,65,18.5,0.6,0.0,큰길(12m+)
35.2301,129.0801,5,0.717,31,29.5,1.09,0.0,큰길(12m+)
35.2302,129.0799,10,0.811,35,33.3,0.97,0.0,큰길(12m+)
35.231,129.0801,2,0.805,21,40.0,0.07,5.9,큰길(12m+)
35.2308,129.0797,7,0.968,31,41.7,0.07,0.0,큰길(12m+)
35.2343,129.0829,3,0.881,24,35.5,0.75,0.0,큰길(12m+)
35.234,129.082,3,0.497,9,9.4,1.19,4.8,혼합골목(6-12m)
35.2342,129.083,3,0.9,29,61.8,0.07,0.0,큰길(12m+)
35.1829,129.1024,1,0.532,28,56.5,0.97,0.0,큰길(12m+)
35.1826,129.1037,6,0.286,25,14.7,4.38,0.0,큰길(12m+)
35.1825,129.104,4,0.684,34,50.9,0.63,0.0,큰길(12m+)
35.1821,129.1044,2,0.588,73,15.8,0.35,0.0,큰길(12m+)
35.1822,129.1046,2,0.917,69,20.8,0.27,0.0,큰길(12m+)
35.1823,129.1049,1,0.965,71,68.8,0.08,0.0,큰길(12m+)
35.1824,129.1054,2,0.967,75,43.7,0.1,0.0,큰길(12m+)
35.1825,129.1058,3,0.67,71,40.3,0.28,0.0,큰길(12m+)
35.1826,129.106,2,0.683,62,35.2,0.32,0.0,큰길(12m+)
35.1829,129.1065,3,0.957,57,27.5,0.2,0.0,큰길(12m+)
35.1831,129.1069,2,0.838,64,22.7,0.25,0.0,큰길(12m+)
35.1833,129.1071,2,0.835,60,27.6,0.2,0.0,큰길(12m+)
35.1836,129.1071,2,0.912,56,27.7,0.2,0.0,큰길(12m+)
35.184,129.1072,2,0.972,54,38.9,0.11,0.0,큰길(12m+)
35.1842,129.1072,2,0.953,52,26.7,0.21,0.0,큰길(12m+)
35.1846,129.107,3,0.981,46,42.1,0.1,0.0,큰길(12m+)
35.1847,129.1072,2,0.95,61,25.6,0.16,0.0,큰길(12m+)
35.1849,129.1071,2,0.96,56,42.0,0.13,0.0,큰길(12m+)
35.1851,129.1071,2,0.935,59,29.9,0.19,0.0,큰길(12m+)
35.1854,129.1071,3,0.907,68,29.6,0.19,0.0,큰길(12m+)
35.1856,129.1071,2,0.83,78,40.8,0.1,0.0,큰길(12m+)
35.1858,129.1071,2,0.675,82,28.5,1.23,0.0,큰길(12m+)
35.1861,129.107,1,0.671,86,38.6,0.15,0.0,큰길(12m+)
35.1861,129.1066,1,0.78,98,20.8,0.81,0.0,큰길(12m+)
35.1859,129.1064,1,0.642,95,8.8,0.64,0.0,혼합골목(6-12m)
35.1857,129.1064,1,0.688,90,9.8,0.57,0.0,혼합골목(6-12m)
35.1855,129.1064,1,0.856,73,15.7,0.36,0.0,큰길(12m+)
35.1853,129.1064,1,0.651,57,11.2,0.5,0.0,혼합골목(6-12m)
35.185,129.1064,1,0.527,44,9.2,0.91,0.0,혼합골목(6-12m)
35.185,129.1062,1,0.549,46,15.4,0.73,0.0,큰길(12m+)
35.1851,129.1058,1,0.646,53,18.2,0.77,0.0,큰길(12m+)
35.1852,129.1056,1,0.885,54,22.0,0.19,0.0,큰길(12m+)
35.1854,129.1054,1,0.928,66,29.6,0.14,0.0,큰길(12m+)
35.1854,129.1051,1,0.93,62,33.6,0.21,0.0,큰길(12m+)
35.1855,129.1049,1,0.936,67,39.9,0.11,0.0,큰길(12m+)
35.1856,129.1046,1,0.941,66,65.6,0.04,0.0,큰길(12m+)
35.1856,129.1043,1,0.916,57,72.2,0.06,0.0,큰길(12m+)
35.1857,129.1041,1,0.921,60,75.4,0.07,0.0,큰길(12m+)
35.1857,129.1038,1,0.879,60,89.1,0.42,0.0,큰길(12m+)
35.1857,129.1035,1,0.708,50,57.2,0.24,0.0,큰길(12m+)
35.1853,129.104,1,0.781,38,95.0,0.06,0.0,큰길(12m+)
35.1849,129.104,1,0.535,16,39.9,0.95,0.0,큰길(12m+)
35.1845,129.104,1,0.367,21,24.1,2.9,0.0,큰길(12m+)
35.1843,129.1041,3,0.361,20,24.8,1.53,0.0,큰길(12m+)
35.1838,129.1041,4,0.352,20,24.4,2.87,0.0,큰길(12m+)
35.1836,129.104,2,0.45,19,29.5,1.33,0.0,큰길(12m+)
35.1831,129.104,1,0.554,17,33.0,1.14,0.0,큰길(12m+)
35.1827,129.104,2,0.601,27,42.2,0.9,0.0,큰길(12m+)
35.231,129.0797,19,0.801,29,39.7,0.07,6.1,큰길(12m+)
35.2301,129.0802,7,0.676,28,32.5,1.16,0.0,큰길(12m+)
35.2051,129.0778,1,0.74,21,59.5,0.16,0.0,큰길(12m+)
35.2051,129.0779,1,0.815,20,59.5,0.16,0.0,큰길(12m+)
35.185,129.104,2,0.564,20,25.0,0.22,0.0,큰길(12m+)
35.184,129.104,1,0.382,20,29.8,1.27,0.0,큰길(12m+)
35.1821,129.1038,2,0.825,60,36.1,0.16,0.0,큰길(12m+)
35.1823,129.104,4,0.815,48,44.7,0.72,0.0,큰길(12m+)
35.1851,129.104,3,0.612,22,22.3,1.7,0.0,큰길(12m+)
35.2069,129.0721,1,0.809,67,31.5,0.53,0.0,큰길(12m+)
35.2312,129.0803,8,0.939,13,41.2,0.07,0.0,큰길(12m+)
35.231,129.0798,14,0.803,27,15.2,0.18,9.9,큰길(12m+)
35.2311,129.0799,6,0.978,22,18.1,0.15,0.0,큰길(12m+)
35.213,129.1001,1,0.809,178,49.7,0.62,0.0,큰길(12m+)
35.2133,129.1004,1,0.401,281,7.3,1.34,1.2,혼합골목(6-12m)
35.2135,129.1008,1,0.467,332,10.2,0.96,0.0,혼합골목(6-12m)
35.2137,129.1011,1,0.677,361,11.8,0.48,0.0,혼합골목(6-12m)
35.2136,129.102,1,0.675,251,7.0,0.8,0.0,혼합골목(6-12m)
35.2141,129.102,1,0.53,331,13.5,0.41,0.0,큰길(12m+)
35.2143,129.1026,1,0.638,251,11.5,0.49,0.0,혼합골목(6-12m)
35.2145,129.103,1,0.682,198,11.5,0.85,0.0,혼합골목(6-12m)
35.2144,129.1027,1,0.358,242,5.7,1.47,1.5,보행골목(<6m)
35.2151,129.1024,1,0.81,318,16.6,0.51,0.0,큰길(12m+)
35.2153,129.1019,1,0.539,394,12.0,0.93,0.0,큰길(12m+)
35.2155,129.1015,1,0.472,405,12.7,0.77,1.8,큰길(12m+)
35.2157,129.101,1,0.256,431,2.2,3.87,1.7,보행골목(<6m)
35.2159,129.1004,1,0.913,427,37.5,0.22,0.0,큰길(12m+)
35.2161,129.0999,1,0.801,427,20.4,0.41,0.0,큰길(12m+)
35.2162,129.0994,1,0.561,416,19.6,0.36,1.2,큰길(12m+)
35.2163,129.0991,1,0.554,412,20.1,0.35,3.1,큰길(12m+)
35.2159,129.099,1,0.398,405,6.8,1.03,0.0,혼합골목(6-12m)
35.2156,129.0981,1,0.498,407,8.3,0.68,1.2,혼합골목(6-12m)
35.2157,129.0975,1,0.582,406,4.2,1.65,2.8,보행골목(<6m)
35.2158,129.0969,2,0.077,402,0.5,14.93,0.0,보행골목(<6m)
35.2159,129.0964,1,0.562,367,7.2,0.78,1.2,혼합골목(6-12m)
35.2161,129.0958,1,0.58,321,13.7,0.31,0.0,큰길(12m+)
35.2159,129.0962,1,0.649,340,7.2,0.78,0.0,혼합골목(6-12m)
35.2157,129.0974,1,0.572,402,3.9,1.07,0.0,보행골목(<6m)
35.2156,129.098,1,0.376,409,5.3,1.58,3.0,보행골목(<6m)
35.2154,129.0985,1,0.455,396,7.1,1.18,0.0,혼합골목(6-12m)
35.2152,129.0989,1,0.253,399,3.8,2.23,0.0,보행골목(<6m)
